RESPNO,FormalPP,InformalPP,TrustPresident,TrustParliament,TrustJudiciary,Age,InterestPublicAffairs,DiscussPolitics,Education
SRL0579,0,1,1,1,0,18,0,0,6
SRL0580,0,1,1,2,3,45,0,0,9
SRL0581,1,2,1,2,3,42,1,1,6
SRL0582,1,3,2,2,1,68,2,2,7
SRL0583, , ,1,1,1,30,0,0,2
SRL0584,1,2,3,1,3,21,0,2,7
SRL0585,1,1,3,2,1,22,2,1,4
SRL0586,1,1,3,1,1,25,3,2,4
SRL0587,1,3,3,1,0,44,3,2,5
SRL0588,1,3,3,1,0,32,3,2,5
SRL0589,0,4,3,2,2,54,1,1,3
SRL0590,0,4,3,2,2,26,3,2,5
SRL0591,1,3,3,2,2,34,3,2,7
SRL0592,1,2,3,2,2,37,3,2,4
SRL0593,1,3,3,2,0,35,2,1,6
SRL0594,1,3,3,0,0,51,3,1,6
SRL0595,1,3,1,1,0,28,0,0,4
SRL0596,1,3,1,2,0,43,3,1,2
SRL0597,0,3,1,1,1,51,1,0,0
SRL0598,0,3,1,1,1,59,0,0,0
SRL0599,0,3,3,1,0,48,3,2,4
SRL0600,0,1,3,1,0,41,0,0,0
SRL0601,0,1,1, , ,40,3,2,0
SRL0602,0,3,0,0,2,45,0,0,4
SRL0603,0,3,3,3,0,48,0,0,1
SRL0604,0,2,2,2,2,42,0,0,4
SRL0605,1,3,3,3,3,45,0,0,1
SRL0606,1,2,3, ,0,24,3,0,0
SRL0607,0,0,2,0, ,20,0,0,0
SRL0608,0,3,3,3, ,42,3,1,1
SRL0609,0,1,1,0,0,33,2,1,2
SRL0610,0,4,0,0,3,49,3,1,0
SRL0611,1,4,1,2,2,47,2,1,4
SRL0612,0,2,1,2,3,18,0,0,4
SRL0613,1,0,2,2,2,46,1,1,0
SRL0614,0,0,0,0,0,45,0,0,0
SRL0615,0,0,0,0,0,50,2,1,0
SRL0616,0,3,3,0,0,42,0,0,2
SRL0617,0,1,2,0,0,45,1,0,0
SRL0618,0,2,2,0,1,30,2,1,0
SRL0619,1,0,3,0,0,33,0,0,4
SRL0620,0,0,1,1,3,38,0,0,0
SRL0621,0,3,3,3,3,26,0,0,0
SRL0622,1,4,3,1,3,29,1,0,4
SRL0623,0,0,3,0,0,39,0,0,2
SRL0624,0,0,0,0,2,56,2,1,0
SRL0625,0,4,2,2,0,35,1,0,0
SRL0626,0,1,1,0,1,31,3,1,0
SRL0627,1,3,2,2,2,27,1,1,4
SRL0628,0,4,0,0,3,45,2,1,2
SRL0629,0,2,1,0, ,36,3,0,0
SRL0630,1,4, , ,2,65,1,1,0
SRL0631,0,0,2,0,0,36,0,0,6
SRL0632,1,1,2,2,2,21,0,0,0
SRL0633,0,3,0,0,2,25,0,0,0
SRL0634,1,3,2,0,1,34,2,2,4
SRL0635,0,1,1,2, ,33,1,0,0
SRL0636,1,2,3,3,3,53,3,2,5
SRL0637,0,0,0,0,1,29,2,0,0
SRL0638,1,0,0,1,3,21,1,0,4
SRL0639,0,2,2,3,3,20,3,0,0
SRL0640,0,2,2,3,0,27,3,2,4
SRL0641,0,3,1,3,1,43,0,0,1
SRL0642,1,2,1,3,3,19,1,1,4
SRL0643,0,1,0,1,1,62,0,0,0
SRL0644,0,4,0,3,3,34,1,1,0
SRL0645,0,1,1,0,0,40,1,0,0
SRL0646,0,1,1,0,1,42,3,1,5
SRL0647,0,1,1,0,0,30,3,0,2
SRL0648,0,1,0,0,0,23,2,1,6
SRL0649,1,3,0,0,3,45,2,1,6
SRL0650,0,2,3,3,3,46,3,1,6
SRL0651,0,3,1,2,1,39,1,0,0
SRL0652,0,1,2,0,1,30,1,0,0
SRL0653,0,3,0,2,3,57,1,0,2
SRL0654,0,3, ,0,1,54,1,0,0
SRL0655,1,3,0,1,1,63,2,1,6
SRL0656,1,3,1,1,2,25,2,1,0
SRL0657,0,0,0,0,1,25,2,0,0
SRL0658,1,2,0,1,1,40,3,1,6
SRL0659,1,4,1,1,1,35,2,1,0
SRL0660,0,3,2,2,2,54,0,0,6
SRL0661,1,0,2,1,3,28,1,0,5
SRL0662,0,1,0,1,1,25,0, ,0
SRL0663,1,1,2,0,2,18,3,2,4
SRL0664,1,3,3,3,2,36,2,1,0
SRL0665,1,1,1,1,2,23,2,1,4
SRL0666,0,3,1,0,1,54,1,0,1
SRL0667,0,3,3,3,3,46,0,0,2
SRL0668,0,4,1,1,2,43,3,2,5
SRL0669,0,3,1,1, ,31,0,0,0
SRL0670,0,1,3,1,1,25,2,0,2
SRL0671,1,2,3,1,2,56,1,1,0
SRL0673,0,1,3,1,2,21,0,0,4
SRL0674,0,1,1,1,1,29,2,0,0
SRL0675,1,4,0,0,2,47,2,1,7
SRL0676,0,0,0,0,1,35,0,0,4
SRL0677,1,4,0,0,3,42,3,2,4
SRL0678,1,4,0,1,2,55,3,2,5
SRL0679,0,3,1,2,1,41,1,1,0
SRL0680,0,3,1,2,2,42,0,1,4
SRL0681,0,2,1,1,1,30,3,1,8
SRL0682,0,0,0,0,2,22,1,0,2
SRL0683,0,3,0,0,0,63,1,0,0
SRL0684,1,3,0,0,1,35,0,2,1
SRL0685,0,0,2,1,1,22,2,2,4
SRL0686,0,0,0,2,3,42,0,0,8
SRL0687,0,3,1,0,0,55,2,1,1
SRL0688,1,3,1,2,2,28,1,2,2
SRL0689,1,1,2,1,2,25,3,1,1
SRL0690,0,0,1,1,1,34,1,0,4
SRL0691,0,1,0,3,3,24,0,0,4
SRL0692,1,1,0,0,1,40,1,1,4
SRL0693,0,1,3, ,3,19,2,0,4
SRL0694,0,0,3,3,3,29,0,0,6
SRL0695,1,4,0,1,3,38,1,1,5
SRL0696,0,1,2,0,2,27,1,1,6
SRL0697,0,2,1,1,0,29,3,2,0
SRL0698,0,0,0,0,0,72,1,0,1
SRL0699,0,3,0,0,0,40,3,2,8
SRL0700,0,2,1,0,2,35,2,2,1
SRL0701,0,2,0,1,1,32,1,1,0
SRL0702,1,3,1,2,0,56,1,1,4
SRL0703,0,3,1,1,0,30,0,0,0
SRL0704,0,3,2,3,2,35,3,2,1
SRL0705,1,0,2,2,2,33,0,0,0
SRL0706,1,1,1,1,1,29,2,0,7
SRL0707,1,3,3,0,2,43,3,2,4
SRL0708,1,3,2,1,2,35,3,2,1
SRL0709,0,1,2,0,2,40,3,2,5
SRL0710,1,1,0,0,2,21,0,1,5
SRL0711,1,4,1,1,2,37,1,1,1
SRL0712,0,3,3,2,2,45,0,0,3
SRL0713,1,2,3,3,3,19,3,0,4
SRL0714,0,3,1,0,1,27,3,1,3
SRL0715,0,0,1,1,1,40,1,0,0
SRL0716,0,3,2,2,2,33,0,0,0
SRL0717,1,3,0,1,2,39,1,0,0
SRL0718,1,4,0,0,2,57,1,1,0
SRL0719,1,3,1, ,2,41,0,0,0
SRL0720,1,3,2,2,1,59,2,1,1
SRL0721,0,3,0,0,1,40,3,1,5
SRL0722,0,1,1,0,1,45,3,0,3
SRL0723,0,0,0,0,0,29,0,0,2
SRL0724,0,2,0,0,2,40,1,1,0
SRL0725,0,3,1,1,1,56,2,1,6
SRL0726,0,1,1,1,1,40,1,0,0
SRL0727,0,1,3,3,3,35,3,2,0
SRL0728,1,3,1,1,1,38,0,0,0
SRL0729,1,3,1,1,1,41,2,1,4
SRL0730,1,1,2,2,3,45,1,2,6
SRL0731,1,4,0,1,1,49,2,2,8
SRL0732,1,1,0,1,1,36,3,2,8
SRL0733,0,1,0,0,2,29,3,0,1
SRL0734,0,2, ,0,0,25,3,1,8
SRL0735,0,0,2,2,3,29,2,1,4
SRL0736,0,0,3,2,2,29,1,1,4
SRL0737,0,3,2,2,0,37,0,0,0
SRL0738,0,3, , ,3,42,0,0,0
SRL0739,1,1,1,1,2,24,0,1,0
SRL0740, ,3,3,3,0,38,3,2,1
SRL0741,0,3, , ,0,35,3,1,1
SRL0742,0,3,2,2,1,47,2,2,2
SRL0743,0,3,3,2,2,35,2,1,3
SRL0744,0,0, , ,2,30,0,0,0
SRL0745,1,1,1,1,1,30,3,2,8
SRL0746,1,1,1,1,1,32,3,2,8
SRL0747,0,0,1,1,1,29,2,1,4
SRL0748,0,0,1,1,1,20,1,0,5
SRL0749,1,2,0,2,2,28,3,2,8
SRL0750,1,2,0,1,2,34,3,2,9
SRL0752,1,3,1,1,1,52,1,1,6
SRL0753,0,1,1,1,1,29,3,0,0
SRL0754,0,1,1,1,1,40,3,2,4
SRL0755,0,0,1,1,1,33,1,0,1
SRL0756,0,0,1,0,1,40,2,0,5
SRL0757,1,4,0,2,2,37,3,2,8
SRL0758,1,4,0,2,2,53,3,2,9
SRL0759,1,3,1,1,1,65,1,1,1
SRL0760,1,3,1,1,1,46,1,1,2
SRL0761,0,1,1,1,1,25,3,1,0
SRL0762,0,3,0,0,0,37,3,2,0
SRL0763,1,1,0,1,2,22,2,1,0
SRL0764,0,3,1,1,1,25,0,0,2
SRL0765,0,3,0,0,1,41,3,2,6
SRL0766,0,1,1,1,1,48,1,0,4
SRL0767,1,4,0,1,2,41,1,1,7
SRL0768,0,3,1,2,1,35,1,1,4
SRL0769,0,2,2,2,2,32,2,1,4
SRL0770,0,0,1,1,1,22,1,0,0
SRL0771,1,4,1,2,2,56,3,2,1
SRL0772,1,3,1,1,1,25,1,1,6
SRL0773,0,1,1,1,1,28,3,1,5
SRL0774,0,0,1,1,1,75,1,0,0
SRL0775,1,4,0,2,2,63,2,1,5
SRL0776,1,3,1,1,1,27,1,1,2
SRL0777,1,3,0,2,2,38,2,1,0
SRL0778,0,1,1,1,1,25,2,1,0
SRL0779,0,1,2,2,1,39,3,1,5
SRL0780,0,0,1,1,1,45,2,1,3
SRL0781,1,4,0,2,2,22,1,1,3
SRL0782,1,4,0,2,2,49,1,1,0
SRL0783,0,3,1,2,1,42,1,1,0
SRL0784,0,3,1,1,1,46,1,1,4
SRL0785,1,4,0,2,2,41,2,2,1
SRL0786,1,4,0,2,2,54,1,0,0
SRL0787,0,3,1,1,1,65,1,1,0
SRL0788,0,3,1,1,1,50,1,1,4
SRL0789,0,0,1,1,1,45,0,0,0
SRL0790,0,0,1,1,1,55,0,0,0
SRL0792,0,2,1,1,2,29,2,1,5
SRL0793,0,3,1,2,0,41,1,0,6
SRL0794,0,0,1,2,1,37,2,1,0
SRL0795,1,4,0,2,2,60,2,1,0
SRL0796,0,3,1,1,1,44,0,0,0
SRL0797,1,4,3,0,1,42,3,2,0
SRL0798,0,0,2,2,2,48,1,1,0
SRL0799,1,4,0,2,2,63,0,0,7
SRL0800,1,3,1,1,1,38,2,1,2
SRL0801,0,4,0,1,1,29,1,0,0
SRL0802,0,0,1,1,1,40,2,0,0
SRL0803,1,4,0,2,2,40,2,1,1
SRL0804,0,3,1,1,1,43,1,1,2
SRL0805,1,3,3,3,2,30,3,2,6
SRL0806,0,0,1,2,1,35,1,0,0
SRL0807,1,4,0,2,2,38,2,1,0
SRL0808,0,3,1,1,1,45,0,0,0
SRL0809,0,1,0,0,0,33,1,1,0
SRL0810,1,4,0,2,2,65,3,2,1
SRL0811,1,4,0,2,1,55,1,1,0
SRL0812,0,1,1,1,1,47,2,1,0
SRL0813,0,1,1,1,1,53,2,1,0
SRL0814,0,1,1,1,1,25,2,1,0
SRL0815,0,1,1,1,1,30,2,0,3
SRL0816,0,0,0,0,0,48,1,1,6
SRL0817,0,4,1,1,1,32,2,1,4
SRL0818,0,1,2,2,2,23,2,0,5
SRL0819,1,4,0,0,0,38,3,2,0
SRL0820,0,0,1,1,1,19,1,1,4
SRL0821,0,3,0,2,2,71,1,0,1
SRL0822,1,3,1,1,1,46,1,1,0
SRL0823,0,3,1,1,1,65,1,1,0
SRL0824,1,4,0,2,1,57,1,0,0
SRL0825,1,3,1,1,1,43,1,1,0
SRL0826,0,3,1,1,1,36,1,1,0
SRL0827,1,4,0,3,1,27,3,2,5
SRL0828,1,4,0,1,2,42,3,2,6
SRL0829,0,0,0,0,0,35,0,0,2
SRL0830,0,3,0,0,0,58,2,0,0
SRL0831,0,4,0,0,0,38,1,1,2
SRL0832,0,1,1,1,1,23,2,0,4
SRL0833,0,1,1,1,1,29,3,2,0
SRL0834,1,3,2,2,2,45,1,1,3
SRL0835,0,3,2,2,1,41,0,0,0
SRL0836,1,3,0,2,1,26,2,1,4
SRL0837,0,4,0,1,2,57,1,1,0
SRL0838,0,0,0,0,0,28,0,0,4
SRL0839,0,1,1,1,1,32,2,1,0
SRL0840,0,3,1,1,1,40,3,2,4
SRL0841,0,1,1,1,1,29,3,0,0
SRL0842,0,4,1,1,1,39,2,2,2
SRL0843,1,4,0,0,2,38,3,2,6
SRL0844,1,3,2,1, ,43,1,0,0
SRL0845,0,3,2,1,1,35,2,1,0
SRL0846,0,0,1,1,1,22,0,0,2
SRL0847,1,4,2,2,2,56,3,2,1
SRL0848,0,3,1,1, ,39,1,1,0
SRL0849,0,3,1,1,1,30,2,1,2
SRL0850,0,4,1,1,1,40,2,0,0
SRL0851,1,4,0,0,2,28,2,1,0
SRL0852,0,3,1,1, ,41,0,0,0
SRL0853,0,1,1,1,1,22,2,0,4
SRL0854,0,3,1,1,1,34,1,1,1
SRL0855,1,4,0,2,2,23,2,1,1
SRL0857,0,3,1,1,1,75,0,0,0
SRL0858,0,1,0,0,1,62,0,0,0
SRL0859,1,4,0,1,2,74,3,2,1
SRL0860,1,4,0,0,2,55,3,2,1
SRL0861,0,3,0,0,0,38,1,1,0
SRL0862,0,4,0,0,0,40,2,1,0
SRL0863,0,1,1,1,1,45,2,0,0
SRL0864,0,3,1,1,1,35,2,1,0
SRL0865,1,3,1,1,1,29,1,1,2
SRL0866,0,3,1,1,1,55,0,0,2
SRL0867,1,4,0,0,2,47,3,2,1
SRL0868,1,4,0,1,2,48,2,1,1
SRL0869,0,3,1,1,1,31,1,1,2
SRL0870,0,3,1,1,1,37,2,1,2
SRL0871,0,1,2,2,2,65,2,1,0
SRL0872,0,1,1,1,1,19,2,0,4
SRL0873,1,3,3,2,2,35,3,2,2
SRL0874,0,1,1,1,1,77,1,0,2
SRL0875,1,4,1,1,2,47,2,1,1
SRL0876,1,3,2,1,1,47,3,2,1
SRL0877,1,4,2,2,2,31,2,1,2
SRL0878,0,0,2,2,2,22,1,1,5
SRL0879,1,2,2,1,2,40,1,0,0
SRL0880,1,3,1,1,1,37,1,1,2
SRL0881,0,1,2,2,2,29,2,0,0
SRL0882,0,3,1,0,1,25,1,1,2
SRL0883,1,3,2,2,2,39,0,1,0
SRL0884,0,3,2,1,1,40,0,0,0
SRL0885,0,3,3,3,1,35,2,1,2
SRL0886,0,3,1,1,1,29,1,1,0
SRL0887,1,4,2,2,2,55,2,1,1
SRL0888,1,4,3,1,1,27,1,1,4
SRL0889,0,2,0,0,2,41,2,1,3
SRL0890,1,0,1,1,1,21,0,0,4
SRL0891,0,3,0,0,1,40,2,2,6
SRL0892,0,0,1,0,0,37,1,1,3
SRL0893,1,4,1,1,2,42,3,2,6
SRL0894,1,4,3,3,3,63,3,2,6
SRL0895,0,3,3,3,1,76,2,1,0
SRL0896,0,3,3,2,1,65,2,1,0
SRL0897,0,2,0,0,0,33,0,2,4
SRL0898,0,2,1,2,1,59,3,0,6
SRL0899,0,3,3,0,1,40,1,0,0
SRL0900,0,2,1,0,1,49,2,1,0
SRL0901,1,1,3,0,0,25,0,0,0
SRL0902,1,3,0,2,3,19,3,2,5
SRL0903,1,3,1,0,1,49,3,1,0
SRL0904,1,3,1,0,0,45,3,2,5
SRL0905,0,3,0,0,0,26,3,1,0
SRL0906,1,2,1,1,3,65,3,2,1
SRL0907,0,3,1,3,1,34,0,1,6
SRL0908,0,3,3,2,3,47,2,1,0
SRL0909,1,2,3,3,3,28,0,0,2
SRL0910,0,2,3,0,3,64,3,0,3
SRL0911,1,2,1,2,2,19,1,1,4
SRL0912,0,3,1,1,2,35,3,1,8
SRL0913,1,2,2,2,2,25,0,1,4
SRL0914,1,4,3,2,1,43,2,1,3
SRL0915,0,0,3,1,1,36,3,0,0
SRL0916,0,3,3,1,3,50,3,0,0
SRL0917,0,3,2,1,3,55,0,0,1
SRL0918,0,1,3,3, ,35,0,0,0
SRL0919,1,3,3,0,2,36,1,1,6
SRL0920,1,1,3,0,0,20,3,1,4
SRL0921,1,1,0,0, ,50,0, ,4
SRL0922,0,0,1,0,3,39,3,0,4
SRL0923,1,3,3,3, ,27,0,0,0
SRL0924,1,3,3,0,0,25,3,2,0
SRL0925,1,2,1,0,0,32,3,2,7
SRL0926,1,4,0,0,2,50,3,0,8
SRL0927,0,3,3,0,0,33,0,0,2
SRL0928,1,3,3,0,0,26,3,2,0
SRL0929,1,1,3,1,3,20,0,0,4
SRL0930,1,2,3,2,0,30,0,0,0
SRL0931,0,3,3,3,3,55,3,0,7
SRL0932,0,4,1,0,2,45,0,0,3
SRL0933,1,3,3,3,0,35,0,1,0
SRL0934,0,3,3,0,0,24,0,0,4
SRL0935,1,3,3,0,0,22,3,1,0
SRL0936,1,3,3,0,0,31,3,2,0
SRL0937,0,3,1,0,0,60,0,1,0
SRL0938,1,3, , ,1,60,2,0,0
SRL0939,0,3,3,3,3,35,2,1,0
SRL0940,0,3,3,3,3,53,0,0,0
SRL0941,1,3,3,0,1,51,3,0,4
SRL0942,0,4,1,0,2,40,0,0,3
SRL0943,1,2,0,0, ,25, ,0,0
SRL0944,0,3,3,1,2,62,0,0,1
SRL0945,1,1,1,0,0,24,0,0,4
SRL0946,0,2,3,2,3, ,0,0,0
SRL0947,1,3,3,0,0,19,3,2,4
SRL0948,0,3,3,3,0,40,0,2,2
SRL0949,1,1,3,3,0,21,3,1,4
SRL0950,0,3,0,0,0,30,3,2,6
SRL0951,1,3,3,0,0,35,3,2,0
SRL0952,1,3,3,0,0,45,0,0,0
SRL0953,1,1,3,3,1,55,1,0,1
SRL0954,0,2,3,1,1,28,1,0,2
SRL0955,0,2,3,2,3,41,3,1,1
SRL0956,1,1,3,3,1,40,1,0,8
SRL0957,1,3,3,1,0,36,0,0,4
SRL0958,0,1,3,3,0,26,0,1,8
SRL0959,0,3,3,0,0,68,3,2,4
SRL0960,1,3,3,0,0,46,3,1,0
SRL0961,1,3,3,3,3,40,3,1,0
SRL0962,0,1,2,2,1,50,3,2,8
SRL0963,0,1,2,2,2,42,3,2,2
SRL0964,0,3,3,0,0,60,3,0,0
SRL0965,1,3,3,3,3,19,3,1,4
SRL0966,1,1,3,3,3,23,0,0,0
SRL0967,1,3,3,0,0,54,3,2,0
SRL0968,1,3,3,0,0,45,3,2,0
SRL0969, ,2,3,3, ,19,0,0,4
SRL0970,1,4,1,0,1,35,0,0,4
SRL0971,1,3,3,3,3,27,3,0,8
SRL0972,1,3,3,1,0,59,3,0,1
SRL0973,1,1,0,0,0,27,3,0,1
SRL0974,0,1,3,3, ,85,0,0,1
SRL0975,1,3,3,0,0,65,3,2,0
SRL0976,1,3,3,0,0,42,3,2,0
SRL0977,0,1,1,1, ,38,0,0,2
SRL0978,0,4,1,0,1,52,1,1,1
SRL0979,0,3,2,1,0,65,3,1,0
SRL0980,1,2,2,2,0,50,3,1,5
SRL0981,0,3,3,1,1,35,0,0,4
SRL0982,0,3,3,2,2,33,3,1,7
SRL0983,0,3,3,0,0,67,3,1,0
SRL0984,0,3,3,0,0,54,3,1,0
SRL0985,1,3,1,0,2,29,3,2,4
SRL0986,1,3,3,0,0,47,3,2,0
SRL0987,0,3,3,1,1,42,0,0,3
SRL0988,1,2,3,3,3,22,3,1,4
SRL0989,0,3,2,2,1,40,2,0,5
SRL0990,1,2,3,2,0,26,3,1,4
SRL0991,0,1,1,1, ,18,0,0,2
SRL0992,0,2,3,2,1,40,0,0,4
SRL0993,0,3, ,0,1,24,2,1,6
SRL0994,0,3,1,0,0,40,3,1,8
SRL0995,0,0,1,1,1,32,0,0,4
SRL0996,1, ,3,3,3,19,1,2,5
SRL0997,0,2,2,2,0,47,1,1,6
SRL0998,0,2,3,0,3,40,0,0,2
SRL0999,0,3,3,3,3,36,0,0,7
SRL1000,1,3,3,0,0,45,3,1,0
SRL1001,1,3,0,0,0,30,3,2,0
SRL1002,0,3,1,0,0,52,3,1,0
SRL1003,0,3,3,1,1,19,0,1,4
SRL1004,1,3,0,0,3,20,2,2,4
SRL1005,0,3,3,1,0,38,3,2,5
SRL1006,0,3,3,1,0,54,3,2,6
SRL1007,1,0,3,1,0,35,2,1,6
SRL1008,1,2,0,0,0,22,1,2,5
SRL1009,1,3,3,3,0,42,3,1,4
SRL1010,1,3,1,0,3,29,2,0,0
SRL1011,0,2,3,0,3,39,1,0,4
SRL1012,0,2,1,0,1,26,0,0,4
SRL1013,0,1,3,3,3,24,0,0,5
SRL1014,0,1,1,3,0,30,0,0,0
SRL1015,1,3,2,0,0,33,1,0,4
SRL1016,1,3,0, ,0,29,0,0,4
SRL1017,1,2,0,0,0,24,2,1,5
SRL1018,1,3,0,0,0,32,2,2,6
SRL1019,0,3,2,2,0,71,3,1,6
SRL1020,0,3,2,2,0,32,3,1,6
SRL1021,1,3,3,0,0,24,3,2,6
SRL1022,1,1,3,3,3,23,0,0,2
SRL1023,1,3,1,0,0,40,3,2,0
SRL1024,0,3,0,0,0,52,1,1,6
SRL1025,0,3,0,0,0,56,0,0,5
SRL1026,1,3,0,1,0,49,3,1,9
SRL1027,0,2,3,0,2,26,3,0,8
SRL1028,0,2,3,0,2,35,3,0,8
SRL1029,0,3,1,1,1,24,0,0,4
SRL1030,1,2,0,0,0,28,3,2,6
SRL1031,1,3,3,2,2,29,3,1,5
SRL1032,1,3,3,0,0,35,2,1,5
SRL1033,0,2,3,3,2,20,2,2,5
SRL1034,0,2,0,0,0,25,2,0,5
SRL1035,1,0,1,0,0,38,3,1,6
SRL1037,0,3,0,0,0,49,0,1,4
SRL1038,1,1,1,0,1,20,3,1,5
SRL1039,1,3,1,0,0,30,2,1,4
SRL1040,1,1,1,0,0,32,0,1,6
SRL1041,0,2,3,2,0,44,0,0,2
SRL1042,0,3,2,1,0,52,2,0,5
SRL1043,0,1,0,0,1,46,3,0,3
SRL1044,0,1,0,0,1,56,3,0,5
SRL1045,1,1,3,3,0,18,0,0,4
SRL1046,1,3,0,0,0,29,0,0,3
SRL1047,1,3,3,2,0,45,1,1,4
SRL1048,1,3,2,0,0,35,1,1,4
SRL1049,0,0,3,0,0,42,0,1,4
SRL1050,1,4,3,0,0,46,1,1,4
SRL1051,0,3,1,1,1,21,3,2,5
SRL1052,0,2,3,3,3,27,0,0,0
SRL1053,0,2,3,0,0,32,3,1,2
SRL1054,0,3,1,0,2,34,3,1,6
SRL1055,1,1,0,0,1,31,1,0,4
SRL1056,1,1,1,1,1,23,1,1,5
SRL1057,1,3,3,1,0,65,3,2,6
SRL1058,1,3,2,1,0,37,3,1,0
SRL1059,0,1,3,3,3,75,0,1,4
SRL1060,1,3,3, ,3,40,3,2,4
SRL1061,1,3,0,0,1,34,1,1,4
SRL1062,0,1,2,2,1,70,1,0,0
SRL1063,0,1, , ,2, ,0,0,1
SRL1064,1,1,0,0,0,27,0,1,6
SRL1065,0,1,1,1,1,21,1,0,5
SRL1066,0,1,2,1,0,29,0,1,7
SRL1067, , ,0,0,0,30,2,2,4
SRL1068,0,1,3,3, ,34,3,0,0
SRL1069,0,2,1,0,3,25,0,1,6
SRL1070,1,3,1,1,3,38,1,1,1
SRL1071,1,0,3,2,1,32,1,1,5
SRL1072,0,1,3,3,3,62,1,1,0
SRL1073,1,1,2,1,0,25,1,1,5
SRL1074,1,1,0,0,0,41,0,1,4
SRL1075,0,0,0,0,0,24,3,1,0
SRL1076,1,1,0,1,2,46,3,1,1
SRL1077,1,1,0,0,3,22,3,2,4
SRL1078,0,0,1,0,1,45,0,0,4
SRL1079,1,4,3,0,1,37,1,1,4
SRL1080,0,1,3,2,0,27,1,1,5
SRL1081,1,2,3,0,1,48,1,0,5
SRL1082,0,1,1,0,1,31,0,0,4
SRL1083,1,2,0,0,0,32,3,0,6
SRL1084,1,2,3,2,0,20,3,1,0
SRL1085,1,1,3,3,0,20,0,0,1
SRL1086, ,0,3,1,0,26,1,1,2
SRL1087,1,2,0,0,2,23,1,1,4
SRL1088,1,1,0,1,2,42,0,0,5
SRL1089, ,0,2,2,2,36,1,1,0
SRL1090,1,4,2,0,0,24,2,1,7
SRL1091,0,3,3,3,3,25,0,1,5
SRL1092,0,1,3,3,0,46,0,0,4
SRL1093,0,0,0,0,0,79,0,0,2
SRL1094,0,4,0,0,1,30,2,1,2
SRL1095,1,4,1,2,2,32,3,1,2
SRL1096,1,2, , ,2,27,0,0,1
SRL1097,0,1,0,0,0,67,3,0,4
SRL1098,0,3,3,3,3,42,2,1,5
SRL1099,0,3,2,2,0,36,2,1,5
SRL1100,0,1,1,1,1,29,0,0,6
SRL1101,1,1,0,0,0,28,3,2,4
SRL1102,0,1,0,0,0,25,3,2,8
SRL1103,0,3,3,0,1,24,3,2,4
SRL1104,1,3,3,1,0,55,3,2,5
SRL1105,1,2,3,3,2,26,2,1,6
SRL1106,0,1,2,0,0,52,1,1,3
SRL1107,1,1,3,0,0,53,0,0,0
SRL1108,0,1,0,0,0,32,0,0,6
SRL1109,0,3,1,1,0,41,0,1,0
SRL1110,0,4,0,0,0,38,2,1,2
SRL1111,1,0,2,2,0,26,2,0,7
SRL1112,1,2,3,2,2,60,0,0,4
SRL1113,1,2,0,0,0,28,1,2,7
SRL1114,0,1,3,2,2,30,0,0,5
SRL1115,0,3,1,1,0,45,0,1,0
SRL1116,0,0,1,0,0,30,3,2,2
SRL1117,0,2,2,2,2,29,0,0,5
SRL1118,0,1,3,0,0,30,2,2,2
SRL1119,1,4,3,1,2,22,2,1,5
SRL1120,1,1,0,0,0,22,3,1,5
SRL1121,0,0,1,0,0,39,2,0,4
SRL1122,0,0,1,1,0,27,3,1,4
SRL1123,0,1,1,0,0,37,1,1,6
SRL1124,1,0,0,0,0,50,3,2,8
SRL1125,1,1,0,0,0,21,0,1,5
SRL1126,0,3,3,3,0,25,3,2,3
SRL1127,0,4,3,1,0,42,3,2,5
SRL1128,1,3,3,2,0,22,2,1,8
SRL1129,0,2,2,2,1,30,0,0,4
SRL1130,0,3,1,1,0,35,1,1,5
SRL1131,1,4,0,0,0,22,3,1,7
SRL1132,0,3,0,0,0,56,3,1,1
SRL1133,1,1,3,3,3,38,0,1,0
SRL1134,0,3,3,1,0,59,0,0,4
SRL1135,1,1,0,0,0,42,1,1,4
SRL1136,1,3,1,0,0,20,2,1,0
SRL1137,0,4,3,2,1,55,2,2,8
SRL1138,1,2,3,2,2,32,3,2,0
SRL1139,0,1,1,1,0,40,0,0,4
SRL1140,1,1,3,1,1,20,0,1,4
SRL1141,0,0,2,0,0,29,2,1,0
SRL1142,0,0,3,0,1,60,3,1,6
SRL1143,0,2,2,2,2,34,0,0,4
SRL1144,1,1,0,0,0,45,1,2,9
SRL1145,0,1,1,0,0,99,1,1,5
SRL1146,1,1,0,0,1,50,1,0,4
SRL1147,0,1,1,1,1,44,3,0,2
SRL1148,0,2,1,1,0,41,2,0,0
SRL1149,0,1,1,1,0,54,0,1,4
SRL1150,0,0,2,0,0,42,0,0,5
SRL1151,1,4,3,3,0,25,1,1,0
SRL1152,1,3,3,2,1,37,2,1,5
SRL1153,0,1,3,2,1,49,3,2,8
SRL1154,1,1,3,0,1,37,2,1,0
SRL1155,1,1,0,1,0,32, ,2,5
SRL1156,1,2,3,3,3,44,3,2,8
SRL1157,0,3,1,1,1,52,3,1,4
SRL1158,1,3,0,0,0,38,2,2,4
SRL1159,1,1,3,3,3,28,0,0,6
SRL1160,1,1, ,0,0,33,1,2,9
SRL1161,0,1,0,0,0,52,1,0,4
SRL1162,1,2,2,1,0,53,2,2,5
SRL1163,0,2,1,1,0,54,2,1,6
