RESPNO,Age,InterestPublicAffairs,DiscussPolitics,InformalPP,FormalPP,TrustPresident,TrustParliament,TrustJudiciary,Education
SRL0576,72,2,1,3,0,3,3,3,3
SRL0577,29,3,2,3,1,0,0,0,5
SRL0578,31,2,1,2,1,1,2,1,5
SRL0579,18,0,0,1,0,1,1,0,6
SRL0580,45,0,0,1,0,1,2,3,9
SRL0581,42,1,1,2,1,1,2,3,6
SRL0582,68,2,2,3,1,2,2,1,7
SRL0583,30,0,0,9,9,1,1,1,2
SRL0584,21,0,2,2,1,3,1,3,7
SRL0585,22,2,1,1,1,3,2,1,4
SRL0586,25,3,2,1,1,3,1,1,4
SRL0587,44,3,2,3,1,3,1,0,5
SRL0588,32,3,2,3,1,3,1,0,5
SRL0589,54,1,1,4,0,3,2,2,3
SRL0590,26,3,2,4,0,3,2,2,5
SRL0591,34,3,2,3,1,3,2,2,7
SRL0592,37,3,2,2,1,3,2,2,4
SRL0593,35,2,1,3,1,3,2,0,6
SRL0594,51,3,1,3,1,3,0,0,6
SRL0595,28,0,0,3,1,1,1,0,4
SRL0596,43,3,1,3,1,1,2,0,2
SRL0597,51,1,0,3,0,1,1,1,0
SRL0598,59,0,0,3,0,1,1,1,0
SRL0599,48,3,2,3,0,3,1,0,4
SRL0600,41,0,0,1,0,3,1,0,0
SRL0601,40,3,2,1,0,1,9,9,0
SRL0602,45,0,0,3,0,0,0,2,4
SRL0603,48,0,0,3,0,3,3,0,1
SRL0604,42,0,0,2,0,2,2,2,4
SRL0605,45,0,0,3,1,3,3,3,1
SRL0606,24,3,0,2,1,3,9,0,0
SRL0607,20,0,0,0,0,2,0,9,0
SRL0608,42,3,1,3,0,3,3,9,1
SRL0609,33,2,1,1,0,1,0,0,2
SRL0610,49,3,1,4,0,0,0,3,0
SRL0611,47,2,1,4,1,1,2,2,4
SRL0612,18,0,0,2,0,1,2,3,4
SRL0613,46,1,1,0,1,2,2,2,0
SRL0614,45,0,0,0,0,0,0,0,0
SRL0615,50,2,1,0,0,0,0,0,0
SRL0616,42,0,0,3,0,3,0,0,2
SRL0617,45,1,0,1,0,2,0,0,0
SRL0618,30,2,1,2,0,2,0,1,0
SRL0619,33,0,0,0,1,3,0,0,4
SRL0620,38,0,0,0,0,1,1,3,0
SRL0621,26,0,0,3,0,3,3,3,0
SRL0622,29,1,0,4,1,3,1,3,4
SRL0623,39,0,0,0,0,3,0,0,2
SRL0624,56,2,1,0,0,0,0,2,0
SRL0625,35,1,0,4,0,2,2,0,0
SRL0626,31,3,1,1,0,1,0,1,0
SRL0627,27,1,1,3,1,2,2,2,4
SRL0628,45,2,1,4,0,0,0,3,2
SRL0629,36,3,0,2,0,1,0,9,0
SRL0630,65,1,1,4,1,9,9,2,0
SRL0631,36,0,0,0,0,2,0,0,6
SRL0632,21,0,0,1,1,2,2,2,0
SRL0633,25,0,0,3,0,0,0,2,0
SRL0634,34,2,2,3,1,2,0,1,4
SRL0635,33,1,0,1,0,1,2,9,0
SRL0636,53,3,2,2,1,3,3,3,5
SRL0637,29,2,0,0,0,0,0,1,0
SRL0638,21,1,0,0,1,0,1,3,4
SRL0639,20,3,0,2,0,2,3,3,0
SRL0640,27,3,2,2,0,2,3,0,4
SRL0641,43,0,0,3,0,1,3,1,1
SRL0642,19,1,1,2,1,1,3,3,4
SRL0643,62,0,0,1,0,0,1,1,0
SRL0644,34,1,1,4,0,0,3,3,0
SRL0645,40,1,0,1,0,1,0,0,0
SRL0646,42,3,1,1,0,1,0,1,5
SRL0647,30,3,0,1,0,1,0,0,2
SRL0648,23,2,1,1,0,0,0,0,6
SRL0649,45,2,1,3,1,0,0,3,6
SRL0650,46,3,1,2,0,3,3,3,6
SRL0651,39,1,0,3,0,1,2,1,0
SRL0652,30,1,0,1,0,2,0,1,0
SRL0653,57,1,0,3,0,0,2,3,2
SRL0654,54,1,0,3,0,9,0,1,0
SRL0655,63,2,1,3,1,0,1,1,6
SRL0656,25,2,1,3,1,1,1,2,0
SRL0657,25,2,0,0,0,0,0,1,0
SRL0658,40,3,1,2,1,0,1,1,6
SRL0659,35,2,1,4,1,1,1,1,0
SRL0660,54,0,0,3,0,2,2,2,6
SRL0661,28,1,0,0,1,2,1,3,5
SRL0662,25,0,9,1,0,0,1,1,0
SRL0663,18,3,2,1,1,2,0,2,4
SRL0664,36,2,1,3,1,3,3,2,0
SRL0665,23,2,1,1,1,1,1,2,4
SRL0666,54,1,0,3,0,1,0,1,1
SRL0667,46,0,0,3,0,3,3,3,2
SRL0668,43,3,2,4,0,1,1,2,5
SRL0669,31,0,0,3,0,1,1,9,0
SRL0670,25,2,0,1,0,3,1,1,2
SRL0671,56,1,1,2,1,3,1,2,0
SRL0673,21,0,0,1,0,3,1,2,4
SRL0674,29,2,0,1,0,1,1,1,0
SRL0675,47,2,1,4,1,0,0,2,7
SRL0676,35,0,0,0,0,0,0,1,4
SRL0677,42,3,2,4,1,0,0,3,4
SRL0678,55,3,2,4,1,0,1,2,5
SRL0679,41,1,1,3,0,1,2,1,0
SRL0680,42,0,1,3,0,1,2,2,4
SRL0681,30,3,1,2,0,1,1,1,8
SRL0682,22,1,0,0,0,0,0,2,2
SRL0683,63,1,0,3,0,0,0,0,0
SRL0684,35,0,2,3,1,0,0,1,1
SRL0685,22,2,2,0,0,2,1,1,4
SRL0686,42,0,0,0,0,0,2,3,8
SRL0687,55,2,1,3,0,1,0,0,1
SRL0688,28,1,2,3,1,1,2,2,2
SRL0689,25,3,1,1,1,2,1,2,1
SRL0690,34,1,0,0,0,1,1,1,4
SRL0691,24,0,0,1,0,0,3,3,4
SRL0692,40,1,1,1,1,0,0,1,4
SRL0693,19,2,0,1,0,3,9,3,4
SRL0694,29,0,0,0,0,3,3,3,6
SRL0695,38,1,1,4,1,0,1,3,5
SRL0696,27,1,1,1,0,2,0,2,6
SRL0697,29,3,2,2,0,1,1,0,0
SRL0698,72,1,0,0,0,0,0,0,1
SRL0699,40,3,2,3,0,0,0,0,8
SRL0700,35,2,2,2,0,1,0,2,1
SRL0701,32,1,1,2,0,0,1,1,0
SRL0702,56,1,1,3,1,1,2,0,4
SRL0703,30,0,0,3,0,1,1,0,0
SRL0704,35,3,2,3,0,2,3,2,1
SRL0705,33,0,0,0,1,2,2,2,0
SRL0706,29,2,0,1,1,1,1,1,7
SRL0707,43,3,2,3,1,3,0,2,4
SRL0708,35,3,2,3,1,2,1,2,1
SRL0709,40,3,2,1,0,2,0,2,5
SRL0710,21,0,1,1,1,0,0,2,5
SRL0711,37,1,1,4,1,1,1,2,1
SRL0712,45,0,0,3,0,3,2,2,3
SRL0713,19,3,0,2,1,3,3,3,4
SRL0714,27,3,1,3,0,1,0,1,3
SRL0715,40,1,0,0,0,1,1,1,0
SRL0716,33,0,0,3,0,2,2,2,0
SRL0717,39,1,0,3,1,0,1,2,0
SRL0718,57,1,1,4,1,0,0,2,0
SRL0719,41,0,0,3,1,1,9,2,0
SRL0720,59,2,1,3,1,2,2,1,1
SRL0721,40,3,1,3,0,0,0,1,5
SRL0722,45,3,0,1,0,1,0,1,3
SRL0723,29,0,0,0,0,0,0,0,2
SRL0724,40,1,1,2,0,0,0,2,0
SRL0725,56,2,1,3,0,1,1,1,6
SRL0726,40,1,0,1,0,1,1,1,0
SRL0727,35,3,2,1,0,3,3,3,0
SRL0728,38,0,0,3,1,1,1,1,0
SRL0729,41,2,1,3,1,1,1,1,4
SRL0730,45,1,2,1,1,2,2,3,6
SRL0731,49,2,2,4,1,0,1,1,8
SRL0732,36,3,2,1,1,0,1,1,8
SRL0733,29,3,0,1,0,0,0,2,1
SRL0734,25,3,1,2,0,9,0,0,8
SRL0735,29,2,1,0,0,2,2,3,4
SRL0736,29,1,1,0,0,3,2,2,4
SRL0737,37,0,0,3,0,2,2,0,0
SRL0738,42,0,0,3,0,9,9,3,0
SRL0739,24,0,1,1,1,1,1,2,0
SRL0740,38,3,2,3,9,3,3,0,1
SRL0741,35,3,1,3,0,9,9,0,1
SRL0742,47,2,2,3,0,2,2,1,2
SRL0743,35,2,1,3,0,3,2,2,3
SRL0744,30,0,0,0,0,9,9,2,0
SRL0745,30,3,2,1,1,1,1,1,8
SRL0746,32,3,2,1,1,1,1,1,8
SRL0747,29,2,1,0,0,1,1,1,4
SRL0748,20,1,0,0,0,1,1,1,5
SRL0749,28,3,2,2,1,0,2,2,8
SRL0750,34,3,2,2,1,0,1,2,9
SRL0752,52,1,1,3,1,1,1,1,6
SRL0753,29,3,0,1,0,1,1,1,0
SRL0754,40,3,2,1,0,1,1,1,4
SRL0755,33,1,0,0,0,1,1,1,1
SRL0756,40,2,0,0,0,1,0,1,5
SRL0757,37,3,2,4,1,0,2,2,8
SRL0758,53,3,2,4,1,0,2,2,9
SRL0759,65,1,1,3,1,1,1,1,1
SRL0760,46,1,1,3,1,1,1,1,2
SRL0761,25,3,1,1,0,1,1,1,0
SRL0762,37,3,2,3,0,0,0,0,0
SRL0763,22,2,1,1,1,0,1,2,0
SRL0764,25,0,0,3,0,1,1,1,2
SRL0765,41,3,2,3,0,0,0,1,6
SRL0766,48,1,0,1,0,1,1,1,4
SRL0767,41,1,1,4,1,0,1,2,7
SRL0768,35,1,1,3,0,1,2,1,4
SRL0769,32,2,1,2,0,2,2,2,4
SRL0770,22,1,0,0,0,1,1,1,0
SRL0771,56,3,2,4,1,1,2,2,1
SRL0772,25,1,1,3,1,1,1,1,6
SRL0773,28,3,1,1,0,1,1,1,5
SRL0774,75,1,0,0,0,1,1,1,0
SRL0775,63,2,1,4,1,0,2,2,5
SRL0776,27,1,1,3,1,1,1,1,2
SRL0777,38,2,1,3,1,0,2,2,0
SRL0778,25,2,1,1,0,1,1,1,0
SRL0779,39,3,1,1,0,2,2,1,5
SRL0780,45,2,1,0,0,1,1,1,3
SRL0781,22,1,1,4,1,0,2,2,3
SRL0782,49,1,1,4,1,0,2,2,0
SRL0783,42,1,1,3,0,1,2,1,0
SRL0784,46,1,1,3,0,1,1,1,4
SRL0785,41,2,2,4,1,0,2,2,1
SRL0786,54,1,0,4,1,0,2,2,0
SRL0787,65,1,1,3,0,1,1,1,0
SRL0788,50,1,1,3,0,1,1,1,4
SRL0789,45,0,0,0,0,1,1,1,0
SRL0790,55,0,0,0,0,1,1,1,0
SRL0792,29,2,1,2,0,1,1,2,5
SRL0793,41,1,0,3,0,1,2,0,6
SRL0794,37,2,1,0,0,1,2,1,0
SRL0795,60,2,1,4,1,0,2,2,0
SRL0796,44,0,0,3,0,1,1,1,0
SRL0797,42,3,2,4,1,3,0,1,0
SRL0798,48,1,1,0,0,2,2,2,0
SRL0799,63,0,0,4,1,0,2,2,7
SRL0800,38,2,1,3,1,1,1,1,2
SRL0801,29,1,0,4,0,0,1,1,0
SRL0802,40,2,0,0,0,1,1,1,0
SRL0803,40,2,1,4,1,0,2,2,1
SRL0804,43,1,1,3,0,1,1,1,2
SRL0805,30,3,2,3,1,3,3,2,6
SRL0806,35,1,0,0,0,1,2,1,0
SRL0807,38,2,1,4,1,0,2,2,0
SRL0808,45,0,0,3,0,1,1,1,0
SRL0809,33,1,1,1,0,0,0,0,0
SRL0810,65,3,2,4,1,0,2,2,1
SRL0811,55,1,1,4,1,0,2,1,0
SRL0812,47,2,1,1,0,1,1,1,0
SRL0813,53,2,1,1,0,1,1,1,0
SRL0814,25,2,1,1,0,1,1,1,0
SRL0815,30,2,0,1,0,1,1,1,3
SRL0816,48,1,1,0,0,0,0,0,6
SRL0817,32,2,1,4,0,1,1,1,4
SRL0818,23,2,0,1,0,2,2,2,5
SRL0819,38,3,2,4,1,0,0,0,0
SRL0820,19,1,1,0,0,1,1,1,4
SRL0821,71,1,0,3,0,0,2,2,1
SRL0822,46,1,1,3,1,1,1,1,0
SRL0823,65,1,1,3,0,1,1,1,0
SRL0824,57,1,0,4,1,0,2,1,0
SRL0825,43,1,1,3,1,1,1,1,0
SRL0826,36,1,1,3,0,1,1,1,0
SRL0827,27,3,2,4,1,0,3,1,5
SRL0828,42,3,2,4,1,0,1,2,6
SRL0829,35,0,0,0,0,0,0,0,2
SRL0830,58,2,0,3,0,0,0,0,0
SRL0831,38,1,1,4,0,0,0,0,2
SRL0832,23,2,0,1,0,1,1,1,4
SRL0833,29,3,2,1,0,1,1,1,0
SRL0834,45,1,1,3,1,2,2,2,3
SRL0835,41,0,0,3,0,2,2,1,0
SRL0836,26,2,1,3,1,0,2,1,4
SRL0837,57,1,1,4,0,0,1,2,0
SRL0838,28,0,0,0,0,0,0,0,4
SRL0839,32,2,1,1,0,1,1,1,0
SRL0840,40,3,2,3,0,1,1,1,4
SRL0841,29,3,0,1,0,1,1,1,0
SRL0842,39,2,2,4,0,1,1,1,2
SRL0843,38,3,2,4,1,0,0,2,6
SRL0844,43,1,0,3,1,2,1,9,0
SRL0845,35,2,1,3,0,2,1,1,0
SRL0846,22,0,0,0,0,1,1,1,2
SRL0847,56,3,2,4,1,2,2,2,1
SRL0848,39,1,1,3,0,1,1,9,0
SRL0849,30,2,1,3,0,1,1,1,2
SRL0850,40,2,0,4,0,1,1,1,0
SRL0851,28,2,1,4,1,0,0,2,0
SRL0852,41,0,0,3,0,1,1,9,0
SRL0853,22,2,0,1,0,1,1,1,4
SRL0854,34,1,1,3,0,1,1,1,1
SRL0855,23,2,1,4,1,0,2,2,1
SRL0857,75,0,0,3,0,1,1,1,0
SRL0858,62,0,0,1,0,0,0,1,0
SRL0859,74,3,2,4,1,0,1,2,1
SRL0860,55,3,2,4,1,0,0,2,1
SRL0861,38,1,1,3,0,0,0,0,0
SRL0862,40,2,1,4,0,0,0,0,0
SRL0863,45,2,0,1,0,1,1,1,0
SRL0864,35,2,1,3,0,1,1,1,0
SRL0865,29,1,1,3,1,1,1,1,2
SRL0866,55,0,0,3,0,1,1,1,2
SRL0867,47,3,2,4,1,0,0,2,1
SRL0868,48,2,1,4,1,0,1,2,1
SRL0869,31,1,1,3,0,1,1,1,2
SRL0870,37,2,1,3,0,1,1,1,2
SRL0871,65,2,1,1,0,2,2,2,0
SRL0872,19,2,0,1,0,1,1,1,4
SRL0873,35,3,2,3,1,3,2,2,2
SRL0874,77,1,0,1,0,1,1,1,2
SRL0875,47,2,1,4,1,1,1,2,1
SRL0876,47,3,2,3,1,2,1,1,1
SRL0877,31,2,1,4,1,2,2,2,2
SRL0878,22,1,1,0,0,2,2,2,5
SRL0879,40,1,0,2,1,2,1,2,0
SRL0880,37,1,1,3,1,1,1,1,2
SRL0881,29,2,0,1,0,2,2,2,0
SRL0882,25,1,1,3,0,1,0,1,2
SRL0883,39,0,1,3,1,2,2,2,0
SRL0884,40,0,0,3,0,2,1,1,0
SRL0885,35,2,1,3,0,3,3,1,2
SRL0886,29,1,1,3,0,1,1,1,0
SRL0887,55,2,1,4,1,2,2,2,1
SRL0888,27,1,1,4,1,3,1,1,4
SRL0889,41,2,1,2,0,0,0,2,3
SRL0890,21,0,0,0,1,1,1,1,4
SRL0891,40,2,2,3,0,0,0,1,6
SRL0892,37,1,1,0,0,1,0,0,3
SRL0893,42,3,2,4,1,1,1,2,6
SRL0894,63,3,2,4,1,3,3,3,6
SRL0895,76,2,1,3,0,3,3,1,0
SRL0896,65,2,1,3,0,3,2,1,0
SRL0897,33,0,2,2,0,0,0,0,4
SRL0898,59,3,0,2,0,1,2,1,6
SRL0899,40,1,0,3,0,3,0,1,0
SRL0900,49,2,1,2,0,1,0,1,0
SRL0901,25,0,0,1,1,3,0,0,0
SRL0902,19,3,2,3,1,0,2,3,5
SRL0903,49,3,1,3,1,1,0,1,0
SRL0904,45,3,2,3,1,1,0,0,5
SRL0905,26,3,1,3,0,0,0,0,0
SRL0906,65,3,2,2,1,1,1,3,1
SRL0907,34,0,1,3,0,1,3,1,6
SRL0908,47,2,1,3,0,3,2,3,0
SRL0909,28,0,0,2,1,3,3,3,2
SRL0910,64,3,0,2,0,3,0,3,3
SRL0911,19,1,1,2,1,1,2,2,4
SRL0912,35,3,1,3,0,1,1,2,8
SRL0913,25,0,1,2,1,2,2,2,4
SRL0914,43,2,1,4,1,3,2,1,3
SRL0915,36,3,0,0,0,3,1,1,0
SRL0916,50,3,0,3,0,3,1,3,0
SRL0917,55,0,0,3,0,2,1,3,1
SRL0918,35,0,0,1,0,3,3,9,0
SRL0919,36,1,1,3,1,3,0,2,6
SRL0920,20,3,1,1,1,3,0,0,4
SRL0921,50,0,9,1,1,0,0,9,4
SRL0922,39,3,0,0,0,1,0,3,4
SRL0923,27,0,0,3,1,3,3,9,0
SRL0924,25,3,2,3,1,3,0,0,0
SRL0925,32,3,2,2,1,1,0,0,7
SRL0926,50,3,0,4,1,0,0,2,8
SRL0927,33,0,0,3,0,3,0,0,2
SRL0928,26,3,2,3,1,3,0,0,0
SRL0929,20,0,0,1,1,3,1,3,4
SRL0930,30,0,0,2,1,3,2,0,0
SRL0931,55,3,0,3,0,3,3,3,7
SRL0932,45,0,0,4,0,1,0,2,3
SRL0933,35,0,1,3,1,3,3,0,0
SRL0934,24,0,0,3,0,3,0,0,4
SRL0935,22,3,1,3,1,3,0,0,0
SRL0936,31,3,2,3,1,3,0,0,0
SRL0937,60,0,1,3,0,1,0,0,0
SRL0938,60,2,0,3,1,9,9,1,0
SRL0939,35,2,1,3,0,3,3,3,0
SRL0940,53,0,0,3,0,3,3,3,0
SRL0941,51,3,0,3,1,3,0,1,4
SRL0942,40,0,0,4,0,1,0,2,3
SRL0943,25,9,0,2,1,0,0,9,0
SRL0944,62,0,0,3,0,3,1,2,1
SRL0945,24,0,0,1,1,1,0,0,4
SRL0946,999,0,0,2,0,3,2,3,0
SRL0947,19,3,2,3,1,3,0,0,4
SRL0948,40,0,2,3,0,3,3,0,2
SRL0949,21,3,1,1,1,3,3,0,4
SRL0950,30,3,2,3,0,0,0,0,6
SRL0951,35,3,2,3,1,3,0,0,0
SRL0952,45,0,0,3,1,3,0,0,0
SRL0953,55,1,0,1,1,3,3,1,1
SRL0954,28,1,0,2,0,3,1,1,2
SRL0955,41,3,1,2,0,3,2,3,1
SRL0956,40,1,0,1,1,3,3,1,8
SRL0957,36,0,0,3,1,3,1,0,4
SRL0958,26,0,1,1,0,3,3,0,8
SRL0959,68,3,2,3,0,3,0,0,4
SRL0960,46,3,1,3,1,3,0,0,0
SRL0961,40,3,1,3,1,3,3,3,0
SRL0962,50,3,2,1,0,2,2,1,8
SRL0963,42,3,2,1,0,2,2,2,2
SRL0964,60,3,0,3,0,3,0,0,0
SRL0965,19,3,1,3,1,3,3,3,4
SRL0966,23,0,0,1,1,3,3,3,0
SRL0967,54,3,2,3,1,3,0,0,0
SRL0968,45,3,2,3,1,3,0,0,0
SRL0969,19,0,0,2,9,3,3,9,4
SRL0970,35,0,0,4,1,1,0,1,4
SRL0971,27,3,0,3,1,3,3,3,8
SRL0972,59,3,0,3,1,3,1,0,1
SRL0973,27,3,0,1,1,0,0,0,1
SRL0974,85,0,0,1,0,3,3,9,1
SRL0975,65,3,2,3,1,3,0,0,0
SRL0976,42,3,2,3,1,3,0,0,0
SRL0977,38,0,0,1,0,1,1,9,2
SRL0978,52,1,1,4,0,1,0,1,1
SRL0979,65,3,1,3,0,2,1,0,0
SRL0980,50,3,1,2,1,2,2,0,5
SRL0981,35,0,0,3,0,3,1,1,4
SRL0982,33,3,1,3,0,3,2,2,7
SRL0983,67,3,1,3,0,3,0,0,0
SRL0984,54,3,1,3,0,3,0,0,0
SRL0985,29,3,2,3,1,1,0,2,4
SRL0986,47,3,2,3,1,3,0,0,0
SRL0987,42,0,0,3,0,3,1,1,3
SRL0988,22,3,1,2,1,3,3,3,4
SRL0989,40,2,0,3,0,2,2,1,5
SRL0990,26,3,1,2,1,3,2,0,4
SRL0991,18,0,0,1,0,1,1,9,2
SRL0992,40,0,0,2,0,3,2,1,4
SRL0993,24,2,1,3,0,9,0,1,6
SRL0994,40,3,1,3,0,1,0,0,8
SRL0995,32,0,0,0,0,1,1,1,4
SRL0996,19,1,2,9,1,3,3,3,5
SRL0997,47,1,1,2,0,2,2,0,6
SRL0998,40,0,0,2,0,3,0,3,2
SRL0999,36,0,0,3,0,3,3,3,7
SRL1000,45,3,1,3,1,3,0,0,0
SRL1001,30,3,2,3,1,0,0,0,0
SRL1002,52,3,1,3,0,1,0,0,0
SRL1003,19,0,1,3,0,3,1,1,4
SRL1004,20,2,2,3,1,0,0,3,4
SRL1005,38,3,2,3,0,3,1,0,5
SRL1006,54,3,2,3,0,3,1,0,6
SRL1007,35,2,1,0,1,3,1,0,6
SRL1008,22,1,2,2,1,0,0,0,5
SRL1009,42,3,1,3,1,3,3,0,4
SRL1010,29,2,0,3,1,1,0,3,0
SRL1011,39,1,0,2,0,3,0,3,4
SRL1012,26,0,0,2,0,1,0,1,4
SRL1013,24,0,0,1,0,3,3,3,5
SRL1014,30,0,0,1,0,1,3,0,0
SRL1015,33,1,0,3,1,2,0,0,4
SRL1016,29,0,0,3,1,0,9,0,4
SRL1017,24,2,1,2,1,0,0,0,5
SRL1018,32,2,2,3,1,0,0,0,6
SRL1019,71,3,1,3,0,2,2,0,6
SRL1020,32,3,1,3,0,2,2,0,6
SRL1021,24,3,2,3,1,3,0,0,6
SRL1022,23,0,0,1,1,3,3,3,2
SRL1023,40,3,2,3,1,1,0,0,0
SRL1024,52,1,1,3,0,0,0,0,6
SRL1025,56,0,0,3,0,0,0,0,5
SRL1026,49,3,1,3,1,0,1,0,9
SRL1027,26,3,0,2,0,3,0,2,8
SRL1028,35,3,0,2,0,3,0,2,8
SRL1029,24,0,0,3,0,1,1,1,4
SRL1030,28,3,2,2,1,0,0,0,6
SRL1031,29,3,1,3,1,3,2,2,5
SRL1032,35,2,1,3,1,3,0,0,5
SRL1033,20,2,2,2,0,3,3,2,5
SRL1034,25,2,0,2,0,0,0,0,5
SRL1035,38,3,1,0,1,1,0,0,6
SRL1037,49,0,1,3,0,0,0,0,4
SRL1038,20,3,1,1,1,1,0,1,5
SRL1039,30,2,1,3,1,1,0,0,4
SRL1040,32,0,1,1,1,1,0,0,6
SRL1041,44,0,0,2,0,3,2,0,2
SRL1042,52,2,0,3,0,2,1,0,5
SRL1043,46,3,0,1,0,0,0,1,3
SRL1044,56,3,0,1,0,0,0,1,5
SRL1045,18,0,0,1,1,3,3,0,4
SRL1046,29,0,0,3,1,0,0,0,3
SRL1047,45,1,1,3,1,3,2,0,4
SRL1048,35,1,1,3,1,2,0,0,4
SRL1049,42,0,1,0,0,3,0,0,4
SRL1050,46,1,1,4,1,3,0,0,4
SRL1051,21,3,2,3,0,1,1,1,5
SRL1052,27,0,0,2,0,3,3,3,0
SRL1053,32,3,1,2,0,3,0,0,2
SRL1054,34,3,1,3,0,1,0,2,6
SRL1055,31,1,0,1,1,0,0,1,4
SRL1056,23,1,1,1,1,1,1,1,5
SRL1057,65,3,2,3,1,3,1,0,6
SRL1058,37,3,1,3,1,2,1,0,0
SRL1059,75,0,1,1,0,3,3,3,4
SRL1060,40,3,2,3,1,3,9,3,4
SRL1061,34,1,1,3,1,0,0,1,4
SRL1062,70,1,0,1,0,2,2,1,0
SRL1063,999,0,0,1,0,9,9,2,1
SRL1064,27,0,1,1,1,0,0,0,6
SRL1065,21,1,0,1,0,1,1,1,5
SRL1066,29,0,1,1,0,2,1,0,7
SRL1067,30,2,2,9,9,0,0,0,4
SRL1068,34,3,0,1,0,3,3,9,0
SRL1069,25,0,1,2,0,1,0,3,6
SRL1070,38,1,1,3,1,1,1,3,1
SRL1071,32,1,1,0,1,3,2,1,5
SRL1072,62,1,1,1,0,3,3,3,0
SRL1073,25,1,1,1,1,2,1,0,5
SRL1074,41,0,1,1,1,0,0,0,4
SRL1075,24,3,1,0,0,0,0,0,0
SRL1076,46,3,1,1,1,0,1,2,1
SRL1077,22,3,2,1,1,0,0,3,4
SRL1078,45,0,0,0,0,1,0,1,4
SRL1079,37,1,1,4,1,3,0,1,4
SRL1080,27,1,1,1,0,3,2,0,5
SRL1081,48,1,0,2,1,3,0,1,5
SRL1082,31,0,0,1,0,1,0,1,4
SRL1083,32,3,0,2,1,0,0,0,6
SRL1084,20,3,1,2,1,3,2,0,0
SRL1085,20,0,0,1,1,3,3,0,1
SRL1086,26,1,1,0,9,3,1,0,2
SRL1087,23,1,1,2,1,0,0,2,4
SRL1088,42,0,0,1,1,0,1,2,5
SRL1089,36,1,1,0,9,2,2,2,0
SRL1090,24,2,1,4,1,2,0,0,7
SRL1091,25,0,1,3,0,3,3,3,5
SRL1092,46,0,0,1,0,3,3,0,4
SRL1093,79,0,0,0,0,0,0,0,2
SRL1094,30,2,1,4,0,0,0,1,2
SRL1095,32,3,1,4,1,1,2,2,2
SRL1096,27,0,0,2,1,9,9,2,1
SRL1097,67,3,0,1,0,0,0,0,4
SRL1098,42,2,1,3,0,3,3,3,5
SRL1099,36,2,1,3,0,2,2,0,5
SRL1100,29,0,0,1,0,1,1,1,6
SRL1101,28,3,2,1,1,0,0,0,4
SRL1102,25,3,2,1,0,0,0,0,8
SRL1103,24,3,2,3,0,3,0,1,4
SRL1104,55,3,2,3,1,3,1,0,5
SRL1105,26,2,1,2,1,3,3,2,6
SRL1106,52,1,1,1,0,2,0,0,3
SRL1107,53,0,0,1,1,3,0,0,0
SRL1108,32,0,0,1,0,0,0,0,6
SRL1109,41,0,1,3,0,1,1,0,0
SRL1110,38,2,1,4,0,0,0,0,2
SRL1111,26,2,0,0,1,2,2,0,7
SRL1112,60,0,0,2,1,3,2,2,4
SRL1113,28,1,2,2,1,0,0,0,7
SRL1114,30,0,0,1,0,3,2,2,5
SRL1115,45,0,1,3,0,1,1,0,0
SRL1116,30,3,2,0,0,1,0,0,2
SRL1117,29,0,0,2,0,2,2,2,5
SRL1118,30,2,2,1,0,3,0,0,2
SRL1119,22,2,1,4,1,3,1,2,5
SRL1120,22,3,1,1,1,0,0,0,5
SRL1121,39,2,0,0,0,1,0,0,4
SRL1122,27,3,1,0,0,1,1,0,4
SRL1123,37,1,1,1,0,1,0,0,6
SRL1124,50,3,2,0,1,0,0,0,8
SRL1125,21,0,1,1,1,0,0,0,5
SRL1126,25,3,2,3,0,3,3,0,3
SRL1127,42,3,2,4,0,3,1,0,5
SRL1128,22,2,1,3,1,3,2,0,8
SRL1129,30,0,0,2,0,2,2,1,4
SRL1130,35,1,1,3,0,1,1,0,5
SRL1131,22,3,1,4,1,0,0,0,7
SRL1132,56,3,1,3,0,0,0,0,1
SRL1133,38,0,1,1,1,3,3,3,0
SRL1134,59,0,0,3,0,3,1,0,4
SRL1135,42,1,1,1,1,0,0,0,4
SRL1136,20,2,1,3,1,1,0,0,0
SRL1137,55,2,2,4,0,3,2,1,8
SRL1138,32,3,2,2,1,3,2,2,0
SRL1139,40,0,0,1,0,1,1,0,4
SRL1140,20,0,1,1,1,3,1,1,4
SRL1141,29,2,1,0,0,2,0,0,0
SRL1142,60,3,1,0,0,3,0,1,6
SRL1143,34,0,0,2,0,2,2,2,4
SRL1144,45,1,2,1,1,0,0,0,9
SRL1145,99,1,1,1,0,1,0,0,5
SRL1146,50,1,0,1,1,0,0,1,4
SRL1147,44,3,0,1,0,1,1,1,2
SRL1148,41,2,0,2,0,1,1,0,0
SRL1149,54,0,1,1,0,1,1,0,4
SRL1150,42,0,0,0,0,2,0,0,5
SRL1151,25,1,1,4,1,3,3,0,0
SRL1152,37,2,1,3,1,3,2,1,5
SRL1153,49,3,2,1,0,3,2,1,8
SRL1154,37,2,1,1,1,3,0,1,0
SRL1155,32,9,2,1,1,0,1,0,5
SRL1156,44,3,2,2,1,3,3,3,8
SRL1157,52,3,1,3,0,1,1,1,4
SRL1158,38,2,2,3,1,0,0,0,4
SRL1159,28,0,0,1,1,3,3,3,6
SRL1160,33,1,2,1,1,9,0,0,9
