RESPNO,Age,InterestPublicAffairs,DiscussPolitics,InformalPP,FormalPP,TrustPresident,TrustParliament,TrustJudiciary,Education
SRL0131,51,1,1,4,1,0,0,0,0
SRL0132,65,2,1,4,1,0,0,2,0
SRL0133,50,2,0,4,1,2,1,2,3
SRL0134,42,9,9,3,0,2,2,2,0
SRL0135,20,1,1,1,1,1,0,9,0
SRL0136,23,2,1,3,0,2,0,1,5
SRL0137,27,1,1,3,0,2,2,9,4
SRL0138,52,2,1,1,0,3,3,1,0
SRL0139,68,0,0,0,0,3,1,0,0
SRL0140,47,3,2,4,1,1,0,0,3
SRL0141,20,0,0,4,0,9,9,9,4
SRL0142,19,3,0,3,0,3,3,3,4
SRL0143,63,3,1,4,0,3,1,2,6
SRL0144,23,9,9,4,1,1,1,9,3
SRL0145,42,9,9,3,0,1,1,1,0
SRL0146,28,1,1,3,0,3,3,1,0
SRL0147,26,2,1,4,1,9,9,9,0
SRL0148,30,1,1,0,1,9,9,9,0
SRL0149,45,3,1,4,1,2,2,2,5
SRL0150,31,0,0,3,0,2,1,2,5
SRL0151,29,9,9,1,1,1,0,9,0
SRL0152,40,9,9,4,1,2,1,9,0
SRL0153,20,0,0,3,0,1,1,2,99
SRL0154,42,0,0,2,0,1,1,2,99
SRL0155,26,0,0,3,1,0,0,0,5
SRL0156,41,1,1,3,0,0,0,0,3
SRL0157,23,3,1,3,0,9,9,9,99
SRL0158,38,2,1,3,0,2,2,2,4
SRL0159,54,0,0,3,0,2,2,9,0
SRL0160,34,0,0,3,1,1,1,9,0
SRL0161,45,3,0,4,1,2,1,1,3
SRL0162,55,0,0,3,0,2,1,2,0
SRL0163,42,1,1,4,0,0,0,0,5
SRL0164,31,0,0,1,0,1,0,9,0
SRL0165,52,3,0,4,0,2,2,2,2
SRL0166,80,0,0,3,0,2,1,2,1
SRL0167,35,2,0,4,1,0,0,9,3
SRL0168,61,9,9,2,0,9,9,9,0
SRL0169,37,0,0,1,1,3,9,9,0
SRL0170,33,1,1,3,0,3,2,1,2
SRL0171,20,0,1,3,1,1,0,9,2
SRL0172,99,1,0,4,0,2,0,1,4
SRL0173,25,3,0,4,0,2,2,1,5
SRL0174,58,2,0,4,0,2,2,1,0
SRL0175,999,0,0,3,1,2,0,9,5
SRL0176,35,0,0,1,1,9,9,9,2
SRL0177,43,3,2,4,1,3,3,3,5
SRL0178,80,1,1,3,0,3,3,2,0
SRL0179,41,0,1,4,1,1,0,9,1
SRL0180,31,0,0,4,1,0,0,0,0
SRL0181,50,3,1,4,0,1,1,2,4
SRL0182,38,2,1,1,0,9,9,9,4
SRL0183,30,1,1,4,1,0,0,9,0
SRL0184,40,0,0,4,1,9,9,9,0
SRL0185,20,1,0,3,0,3,3,1,5
SRL0186,22,0,1,1,0,3,9,3,4
SRL0187,36,0,0,3,0,2,0,0,6
SRL0188,31,0,1,1,0,2,0,9,6
SRL0189,35,2,1,3,1,2,2,2,0
SRL0190,37,3,0,4,0,9,9,9,2
SRL0191,20,0,0,4,1,2,1,1,5
SRL0192,19,9,9,4,0,2,9,9,4
SRL0193,37,0,0,1,0,3,9,9,0
SRL0194,28,3,2,0,0,3,3,3,8
SRL0195,23,2,1,3,1,1,0,0,4
SRL0196,65,1,1,4,0,1,0,9,0
SRL0197,20,0,1,3,0,1,9,9,4
SRL0198,22,0,0,1,0,9,9,9,1
SRL0199,21,9,9,3,1,2,9,9,4
SRL0200,29,2,1,3,1,2,0,9,6
SRL0201,22,0,0,1,0,3,9,9,0
SRL0202,52,2,1,4,1,3,3,3,3
SRL0203,35,1,0,4,1,0,0,0,0
SRL0204,40,1,1,4,1,1,0,0,0
SRL0205,53,3,2,1,1,2,2,2,3
SRL0206,80,3,1,3,1,1,0,0,2
SRL0207,47,9,9,4,1,2,2,2,0
SRL0208,61,2,9,4,0,2,2,1,4
SRL0209,40,3,2,3,1,3,3,1,4
SRL0210,25,2,1,1,0,3,1,0,0
SRL0211,44,1,1,4,1,0,0,0,1
SRL0212,24,0,0,3,1,0,0,9,0
SRL0213,73,3,2,4,1,2,0,1,3
SRL0214,20,3,1,2,1,1,1,2,0
SRL0215,47,0,9,3,0,9,9,9,0
SRL0216,37,1,1,4,1,2,1,9,2
SRL0217,44,1,1,4,0,3,1,1,1
SRL0218,31,9,9,1,0,9,9,9,0
SRL0219,26,0,0,4,0,0,0,2,4
SRL0220,55,1,1,4,0,0,0,0,0
SRL0221,80,2,0,3,0,9,9,9,0
SRL0222,45,3,1,4,0,2,2,1,0
SRL0223,55,2,1,4,1,2,1,9,0
SRL0224,35,2,1,3,0,2,0,9,0
SRL0225,26,3,2,1,0,3,3,3,8
SRL0226,26,0,0,1,0,9,9,9,0
SRL0227,25,0,1,1,1,2,9,9,5
SRL0228,38,0,0,1,0,1,0,0,5
SRL0229,38,0,1,1,1,9,9,9,5
SRL0230,35,0,1,1,1,2,2,0,4
SRL0231,44,2,0,3,1,2,2,2,2
SRL0232,51,2,1,3,0,1,0,9,2
SRL0233,32,3,1,1,0,3,3,3,6
SRL0234,49,0,1,1,0,3,3,3,8
SRL0235,29,1,0,1,0,2,1,0,6
SRL0236,22,0,1,1,1,0,0,0,4
SRL0237,39,1,1,4,1,1,0,0,6
SRL0238,20,3,1,3,1,1,0,0,0
SRL0239,43,9,9,3,1,1,0,9,4
SRL0240,40,2,1,1,1,2,2,2,4
SRL0241,33,1,1,1,0,3,3,2,6
SRL0242,48,0,0,1,0,3,0,0,0
SRL0243,35,0,1,1,0,0,0,0,5
SRL0244,43,0,0,3,0,9,9,9,4
SRL0245,19,0,0,1,1,9,9,9,4
SRL0246,22,0,0,2,1,0,0,0,4
SRL0247,32,1,0,3,1,2,1,2,3
SRL0248,41,9,9,1,0,1,1,1,3
SRL0249,60,3,2,9,9,9,9,9,5
SRL0250,28,1,1,1,0,3,3,3,6
SRL0251,73,2,1,4,1,1,0,0,1
SRL0252,32,0,0,1,0,9,9,9,5
SRL0253,41,3,1,1,0,2,0,0,6
SRL0254,19,3,1,2,0,3,3,3,4
SRL0255,39,3,2,4,1,2,1,2,8
SRL0256,65,9,9,2,0,9,9,9,0
SRL0257,19,0,0,1,0,2,0,0,4
SRL0258,26,2,1,1,0,3,3,3,5
SRL0259,35,1,1,4,1,0,0,2,1
SRL0260,27,0,1,4,1,2,2,2,0
SRL0261,75,2,1,1,0,3,3,3,0
SRL0262,38,3,0,4,1,9,9,9,5
