year,cases
1947,0
1948,0
1949,0
1950,4
1951,182
1952,375
1953,361
1954,347
1955,108
1956,67
1957,6
1958,41
1959,19
1960,12
1961,41
1962,74
1963,51
1964,38
1965,33
1966,35
1967,23
1968,21
1969,60
1970,52
1971,41
1972,51
1973,73
1974,46
1975,46
1976,49
1977,33
1978,26
1979,21
1980,26
1981,15
1982,2
1983,5
1984,11
1985,7
1986,3
1987,2
